gene_symbol,protein_name,terminus,tag,linker,method,cell_line,outcome,readout,outcome_detail,document_id,citation,title,journal,year,doi,evidence_lines
PKC1,,C,3xHA,,chromosomal integration of PCR amplified cassettes,,partial,western analysis,"As observed for Ddc1, a clear decrease in the detected amount of 3xHA-tagged Cln2, Pkc1, Slt2, Rad53 and in a lesser extent Swi5 proteins compared to their respective wild-type protein was revealed by the use of specific antibodies.",PMC5553802,Sara Saiz-Baggetto et al.,Chimeric proteins tagged with specific 3xHA cassettes may present instability and functional problems,PLoS ONE,2017.0,10.1371/journal.pone.0183067,L25-L26
SLT2,,C,3xHA,,chromosomal integration of PCR amplified cassettes,,partial,western analysis,"As observed for Ddc1, a clear decrease in the detected amount of 3xHA-tagged Cln2, Pkc1, Slt2, Rad53 and in a lesser extent Swi5 proteins compared to their respective wild-type protein was revealed by the use of specific antibodies.",PMC5553802,Sara Saiz-Baggetto et al.,Chimeric proteins tagged with specific 3xHA cassettes may present instability and functional problems,PLoS ONE,2017.0,10.1371/journal.pone.0183067,L25-L26
RAD53,,C,3xHA,,chromosomal integration of PCR amplified cassettes,,partial,western analysis,"As observed for Ddc1, a clear decrease in the detected amount of 3xHA-tagged Cln2, Pkc1, Slt2, Rad53 and in a lesser extent Swi5 proteins compared to their respective wild-type protein was revealed by the use of specific antibodies.",PMC5553802,Sara Saiz-Baggetto et al.,Chimeric proteins tagged with specific 3xHA cassettes may present instability and functional problems,PLoS ONE,2017.0,10.1371/journal.pone.0183067,L25-L26
SWI5,,C,3xHA,,chromosomal integration of PCR amplified cassettes,,partial,western analysis,"As observed for Ddc1, a clear decrease in the detected amount of 3xHA-tagged Cln2, Pkc1, Slt2, Rad53 and in a lesser extent Swi5 proteins compared to their respective wild-type protein was revealed by the use of specific antibodies.",PMC5553802,Sara Saiz-Baggetto et al.,Chimeric proteins tagged with specific 3xHA cassettes may present instability and functional problems,PLoS ONE,2017.0,10.1371/journal.pone.0183067,L25-L26
PKC1,,C,GFP,,chromosomal integration of PCR amplified cassettes,,partial,western blot,"In the case of GFP tagging, different responses were observed depending on the protein, response ranging from no effect in the case of Ddc1, a mild effect in Rad53 to a more important effect in the case of Cln2 and specially Pkc1.",PMC5553802,Sara Saiz-Baggetto et al.,Chimeric proteins tagged with specific 3xHA cassettes may present instability and functional problems,PLoS ONE,2017.0,10.1371/journal.pone.0183067,L28
DDC1,,C,3xHA ΔIF,,chromosomal integration of PCR amplified cassettes,,partial,western blot,"The elimination of these residues from the spacer caused an increase in the cellular content of Ddc1 when compared to the original 3xHA cassette, although the protein level is reduced in comparison to the non-tagged protein.",PMC5553802,Sara Saiz-Baggetto et al.,Chimeric proteins tagged with specific 3xHA cassettes may present instability and functional problems,PLoS ONE,2017.0,10.1371/journal.pone.0183067,L43
WHI7,,C,3xHA,,chromosomal integration of PCR amplified cassettes,,partial,western blot,"We have observed a strong difference in the level of another yeast protein, Whi7, when tagged with the same 3xHA epitope but using a different cassette that differs in the spacer region.",PMC5553802,Sara Saiz-Baggetto et al.,Chimeric proteins tagged with specific 3xHA cassettes may present instability and functional problems,PLoS ONE,2017.0,10.1371/journal.pone.0183067,L43
SSA1,,C,GFP,,GFP-fusion library,,partial,,"Fusion of GFP to the Ssa1 protein impairs the function of this protein, and under mild, presumably proteotoxic stress conditions, this impairment results in the formation of large insoluble Ssa1-GFP-containing protein deposits.",PMC10454418,Erika V. Grosfeld et al.,Fusion of Hsp70 to GFP Impairs Its Function and Causes Formation of Misfolded Protein Deposits under Mild Stress in Yeast,International Journal of Molecular Sciences,2023.0,10.3390/ijms241612758,"L15, L18, L29, L35"
cox-6B,,not_stated,mTagBFP2,,,,fail,,"All but one tag (cox-6B::mTagBFP2) was visible in the F1 generation of injected P0 animals, and this tag was subsequently isolated among F2 worms positive for the other tags in the pool.",PMC13293606,Matthew Eroglu; Oliver Hobert,A pilot study for whole proteome tagging in Caenorhabditis elegans,eLife,2026.0,10.7554/eLife.110717,L16
MRP17,,N,GFP,,,,fail,,This yeast strain lost the capacity to grow on respiratory media and had a significant growth defect on fermentative media,PMC8724765,Yury S Bykov et al.,Widespread use of unconventional targeting signals in mitochondrial ribosome proteins,The EMBO Journal,2021.0,10.15252/embj.2021109519,L1440-L1447
TOM20,,C,AID*-9×Myc and 3×miniAID,,auxin-based degron (AID) system in vivo,,partial,,introduction of the AID tag or 3×miniAID tag to Tom20 destabilized Tom20 even in the absence of auxin,PMC6362269,Eri Ueda et al.,Myristoyl group-aided protein import into the mitochondrial intermembrane space,Scientific Reports,2019.0,10.1038/s41598-018-38016-1,L23
syp-4,,not_stated,3Xgfp11,,CRISPR/Cas9,,fail,,Attempts at tagging SYP-4 with 3X gfp11 led to loss of function of 3XGFP11::SYP-4 (12.5+/-1.9 DAPI bodies instead of 6).,PMC6553534,Adam Hefel et al.,Tissue-Specific Split sfGFP System for Streamlined Expression of GFP Tagged Proteins in the  Caenorhabditis elegans  Germline,G3: Genes|Genomes|Genetics,2019.0,10.1534/g3.119.400162,L58
hfq,,C,mGFPmut3,,lambda Red-mediated homologous recombination,,partial,,An occasional punctate localization with dim foci was observed (magnified cell or Supplementary Video 8).,PMC3779060,Dirk Landgraf et al.,Segregation of molecules at cell division reveals native protein localization,Nature methods,2013.0,10.1038/nmeth.1955,"L121-L122, L213-L215"
ibpA,,C,mGFPmut3,,lambda Red-mediated homologous recombination,,partial,,The IbpA-mGFPmut3 showed a punctate localization pattern but bright single foci were not observed.,PMC3779060,Dirk Landgraf et al.,Segregation of molecules at cell division reveals native protein localization,Nature methods,2013.0,10.1038/nmeth.1955,"L121-L122, L224"
PRE1,,C,mNeonGreen,,,,fail,,"Tagging PRE1 with the integration cassette with the partial mNeonGreen tag was unsuccessful, most likely because the partial tag interfered with the function of the Pre1 protein.",PMC5063382,Dirk Landgraf et al.,Scarless Gene Tagging with One-Step Transformation and Two-Step Selection in  Saccharomyces cerevisiae  and  Schizosaccharomyces pombe,PLoS ONE,2016.0,10.1371/journal.pone.0163950,"L15, L72"
RSP5,,internal,mNeonGreen,,,,fail,,"We attempted to build an internal RSP5 fusion by inserting mNeonGreen either after Rsp5 amino acid #142 or #442 in a diploid yeast strain, but were not able to obtain working fusions, suggesting that the choice of the insertion sites requires further optimization.",PMC5063382,Dirk Landgraf et al.,Scarless Gene Tagging with One-Step Transformation and Two-Step Selection in  Saccharomyces cerevisiae  and  Schizosaccharomyces pombe,PLoS ONE,2016.0,10.1371/journal.pone.0163950,L87
Uhrf1,,not_stated,EGFP,,,E14,fail,,"the Uhrf1 E14 vector did not yield positive colonies in E14 cells but targeted 50% of clones correctly in E14-derived DNA in JM8 cells, suggesting that there is an incompatibility when targeting with the isogenic sequence.",PMC3772885,Claes Andréasson et al.,Direct Cloning of Isogenic Murine DNA in Yeast and Relevance of Isogenicity for Targeting in Embryonic Stem Cells,PLoS ONE,2013.0,10.1371/journal.pone.0074207,"L33, L34"
Gfap,,not_stated,EGFP,,,E14,fail,,isogenic targeting vectors for Gfap containing E14 DNA gave no correct colonies (E14 in E14) but performed well in unmatched cells.,PMC3772885,Claes Andréasson et al.,Direct Cloning of Isogenic Murine DNA in Yeast and Relevance of Isogenicity for Targeting in Embryonic Stem Cells,PLoS ONE,2013.0,10.1371/journal.pone.0074207,"L33, L34"
vamp2,,N,mEGFP,,PCR tagging using unmodified templates,,fail,,We have also been unable to isolate N-terminal tagged mEGFP-vamp2 founders from the six mEGFP + F0 adults screened so far.,PMC10323249,Yiran Zhang et al.,"Fast, precise and cloning-free knock-in of reporter sequences  in vivo  with high efficiency","Development (Cambridge, England)",2023.0,10.1242/dev.201323,L30
RPT4,,C,His tag,6 x Gly,PCR-based C-terminal tagging,,fail,,"Surprisingly, the RPT4-6 x GLY-His yeast strain was non-viable (data not shown), suggesting that some of the tags in Table 2 can interfere with a particular target protein's function.",PMC2673350,Minoru Funakoshi et al.,Small epitope-linker modules for PCR-based C-terminal tagging in  Saccharomyces cerevisiae,"Yeast (Chichester, England)",2009.0,10.1002/yea.1658,L31
rn,,C,EGFP,,CRISPR-Cas9-mediated homologous recombination,,fail,,"However, the EGFP tagging yielded no correct targeting event, presumably due to the heterozygous background, a larger tag compared to 3XFLAG, and very low survival/fertility rates.",PMC4683652,Qingyun Li et al.,Examination of Endogenous Rotund Expression and Function in Developing  Drosophila  Olfactory System Using CRISPR-Cas9–Mediated Protein Tagging,G3: Genes|Genomes|Genetics,2015.0,10.1534/g3.115.021857,L24
GDI1,,C,THF,,lithium method,,fail,,We found that the GDI1 locus was refractory to the integration of the THF-tagging cassette when the flanking homologous sequences were shorter than ~100 bp.,PMC4237914,Toshiaki Higo et al.,Development of a hexahistidine-3× FLAG-tandem affinity purification method for endogenous protein complexes in  Pichia pastoris,Journal of Structural and Functional Genomics,2014.0,10.1007/s10969-014-9190-1,L42
N,,not_stated,HiBiT,,,,fail,,"Unfortunately, we were not able to recover rIBV with HiBiT tag inserted at either the N-terminus or C-terminus of the N protein, presumably because such mutations disrupt the normal functions of the N protein, such as genome encapsidation.",PMC7485224,Xiao Ying Liang et al.,Development of HiBiT-Tagged Recombinant Infectious Bronchitis Coronavirus for Efficient  in vitro  and  in vivo  Viral Quantification,Frontiers in Microbiology,2020.0,10.3389/fmicb.2020.02100,L48
egl-1,EGL-1,not_stated,wrmScarlet11,,CRISPR/Cas9 knock-in,,fail,,"Unfortunately, we were unable to observe tiny-tagged EGL-1 expression anywhere in the germline of UV-treated worms at the timepoint egl-1 mRNA levels are known to peak",PMC10308244,Gillian Witten et al.,"mScarlet and split fluorophore mScarlet resources for plasmid-based CRISPR/Cas9 knock-in in
 C. elegans",microPublication Biology,2023.0,10.17912/micropub.biology.000871,L13
ptl-1,PTL-1,N,wrmScarlet11,,CRISPR/Cas9 knock-in,,fail,,"As with EGL-1, tiny-tagging did not appear to disrupt the function of PTL-1, but we were unable to observe tiny-tagged PTL-1 (N) expression in any mechanosensory neurons.",PMC10308244,Gillian Witten et al.,"mScarlet and split fluorophore mScarlet resources for plasmid-based CRISPR/Cas9 knock-in in
 C. elegans",microPublication Biology,2023.0,10.17912/micropub.biology.000871,L13
h2bv3,H2Bv3,not_stated,mNeonGreen,,CRISPR/Cas9-mediated knock-in,,fail,PCR screening,Knock-in of a full-length fluorescent protein at the h2bv3 locus was unsuccessful (0/128 clones).,PMC12180633,Kensuke Yamashita et al.,Efficient endogenous protein labelling in  Dictyostelium  using CRISPR/Cas9 knock-in and split fluorescent proteins,PLOS One,2025.0,10.1371/journal.pone.0326577,"L6, L18, L20"
PDCD1,PD-1,C,SMASh,,,,partial,,"However, the tag was found to reduce the level of PD-1 even in the absence of protease inhibitors, and mice developed glomerulonephritis and arthritis upon ageing, likely owing to partial loss of PD-1 function in the non-induced state.",PMC11073515,Brianda A. Hernández-Morán et al.,Degron tagging for rapid protein degradation in mice,Disease Models & Mechanisms,2024.0,10.1242/dmm.050613,L50
erfa-3,,N,3xflag::degron,,CRISPR-Cas9,,partial,Western blot and phenotypic analysis,Expression of TIR1 in the 3xflag::degron::erfa-3 strain led to gross morphological defects that are not seen in the 3xflag::degron::erfa-3 or TIR1-expressing strains.,PMC7252403,Erin C Schiksnis et al.,Auxin-independent depletion of degron-tagged proteins by TIR1,microPublication Biology,2020.0,10.17912/micropub.biology.000213,L9
alg-1,,N,4xflag::degron,,,,partial,Quantitative Western blot,"As with ERFA-3, degron-tagged ALG-1 was chronically depleted when TIR1 was expressed pan-somatically.",PMC7252403,Erin C Schiksnis et al.,Auxin-independent depletion of degron-tagged proteins by TIR1,microPublication Biology,2020.0,10.17912/micropub.biology.000213,L10
KOG1,,C,GFP-cODC1-TDegF,,,,fail,,"Due to the absence of clear signals for Cdc20-, or Kog1-GFP-cODC1-TDegF (data not shown), it is not clear why creation of conditional mutants failed for these proteins.",PMC3024245,Marc Jungbluth et al.,Targeted protein depletion in  Saccharomyces cerevisiae  by activation of a bidirectional degron,BMC Systems Biology,2010.0,10.1186/1752-0509-4-176,"L33, L35"
CDC20,,C,GFP-cODC1-TDegF,,,,fail,,"Due to the absence of clear signals for Cdc20-, or Kog1-GFP-cODC1-TDegF (data not shown), it is not clear why creation of conditional mutants failed for these proteins.",PMC3024245,Marc Jungbluth et al.,Targeted protein depletion in  Saccharomyces cerevisiae  by activation of a bidirectional degron,BMC Systems Biology,2010.0,10.1186/1752-0509-4-176,"L33, L35"
